character,translation
痹,paralysis
禅,Zen
咚,boom
虔,pious
钛,titanium
纽,new
轿,Sedan
制,system
纯,pure
皮,Skin
瞧,look
悦,Joy
陋,ugly
裙,skirt
咩,baa
南,South
脚,foot
字,Character
荆,thorn
烁,sparkle
取,Pick
捡,pick up
欺,bully
翎,Ling
裕,Yu
件,pieces
阿,Ah
妍,Yan
能,can
司,manage
耙,rake
拈,pick up
唆,instigate
刹,brake
回,back
督,Governor
棵,tree
俱,all
死,die
之,Of
黒,black
兕,兕
歹,bad
凳,stool
讽,irony
弋,Yi
笠,hat
寸,Inch
晋,Jin
怜,pity
偏,Partial
谦,humble
讹,false
泪,tears
锤,hammer
脐,navel
店,shop
峰,peak
兹,hereby
坛,altar
索,Search
肯,Ken
酩,Moe
楞,Leng
乎,Almost
怵,fear
诏,Edict
芒,mango
龇,bare
痒,itch
蘑,mushroom
柑,Tangerine
昊,Hao
萍,Ping
甩,dump
班,class
渎,ditch
则,but
恭,Christine
丧,funeral
苔,moss
蛟,Jiao
鞭,whip
袋,bag
鸣,Naruto
摄,photograph
乃,So
序,sequence
缔,association
货,goods
权,right
聆,hear
婆,Mother-in-law
洲,continent
熬,boil
偷,steal
起,rise
裹,wrap
君,gentleman
澡,bath
棱,edge
即,which is
慧,Wisdom
滨,coast
殒,die
卒,pawn
擀,rolling
搜,Search
素,white
拎,carry
渺,vague
方,square
赌,bet
候,waiting
伽,Gal
妻,wife
瘸,lame
厂,factory
细,thin
召,call
蜗,snail
剜,cut out
神,god
强,powerful
垃,garbage
诊,diagnosis
匙,"key, spoon"
窟,cave
徒,only
捏,pinch
弗,Fu
痴,insane
匝,turn
飚,Biao
凰,phoenix
岚,Lan
疾,disease
巻,volume
腕,wrist
崴,Wei
菅,Suga
仇,hatred
潘,Pan
参,ginseng
厕,toilet
杏,apricot
缠,wrapped around
敖,Ao
竿,pole
眛,unobservant
脂,fat
纠,correct
悟,realize
欢,joyous
扒,Grilled
傍,near
付,pay
蘸,dip
赖,rely
赶,catch up
馋,greedy
率,Rate
墩,pier
逾,more than
阪,Ban
拄,Zhu
荤,Meat
癞,skin disease
盆,Bowl
材,material
黝,dark green
发,send
冢,mound
完,Finish
稚,juvenile
处,place
封,seal up
积,product
荒,shortage
阉,eunuch
志,Zhi
驾,drive
垦,Ken
怯,cowardly
煎,fry
场,field
璞,Pu
涛,Tao
辟,provide
踏,tread
殴,beat up
雨,rain
业,industry
诶,Eh
跳,Jump
嗬,Whoa
禾,millet
琦,Qi
叮,Ding
杪,the end
眷,concern
媒,media
晟,Sheng
哦,Oh
啵,pop
淀,precipitate
沉,Shen
慌,Panic
精,Refined
纬,latitude
狡,cunning
电,Electricity
梭,shuttle
籍,membership
夹,folder
懈,negligent
软,soft
六,six
鳌,Ao
童,child
圣,holy
狠,ruthless
蛾,moth
巫,witch
鼾,snore
炙,broil
釜,kettle
虐,abuse
押,bet
床,bed
悔,regret
馆,Pavilion
吱,squeak
秤,scales
辄,noir
芳,fang
芦,reed
纂,compile
艳,colorful
古,antiquity
态,state
瘤,tumor
碗,bowl
他,he
栅,grid
躬,bow
奠,lay down
网,network
剖,section
维,dimension
勺,Spoon
躺,lie
签,sign
裘,fur
情,Affection
仄,narrow
刺,prick
匮,deficient
剿,suppress
锐,sharp
私,private
炼,Refining
矛,spear
药,medicine
谚,saying
趋,trend
俄,Russian
论,Argument
针,Needle
繁,numerous
包,Bag
程,Procedure
商,business
寻,Searching
梵,Vatican
茶,Tea
妈,mom
仍,still
悃,sincere
锣,gong
委,Committee
堂,Church
沫,foam
疲,tired
阀,valve
筐,basket
怒,angry
必,must
彭,peng
笆,fence
此,this
掷,throw
湖,lake
蚊,mosquito
鸥,gull
缀,embroidered
逞,show off
亚,Asia
拔,pull
栏,column
猜,Guess
踢,Kick
霍,Huo
耶,yeah
慨,generous
杠,bar
红,red
盛,Sheng
尤,especially
耐,Resistance
廷,ting
乡,Township
家,Family
眩,dizzy
谈,talk
税,Tax
洞,Hole
栓,bolt
栽,plant
筋,tendon
盘,plate
辙,rut
缺,lack
磨,grind
戮,kill
嬉,play
源,source
亭,pavilion
员,member
驰,gallop
锭,ingot
橘,orange
株,strain
劳,labor
打,beat
寨,Walled
号,No
晏,Yan
蒲,cattail
赫,heck
邦,state
偶,I
米,Meter
骨,bone
竺,Zhu
淡,light
票,ticket
嫩,tender
膛,bore
陪,accompany
阜,Fu
耻,shame
毒,poison
拨,dial
庵,nunnery
今,this
剌,prick
褒,praise
蓝,blue
医,medical
肠,intestinal
府,government
认,recognize
极,pole
狐,fox
岐,Qi
忘,forget
吴,Wu
甲,First
盗,steal
柴,firewood
像,picture
寇,Kou
疗,therapy
扑,flutter
奋,Fen
征,sign
迈,Mai
簇,cluster
猪,pig
页,Page
棠,Tang
获,won
叶,leaf
径,path
泻,diarrhea
节,Festival
无,none
衰,decline
以,by
弄,alley
震,shock
姬,Ji
杯,cup
匆,hasty
抖,shake
拿,take
验,test
轧,rolling
顶,top
急,urgent
荼,tea
初,early
叠,stack
缪,Miao
每,Every
劈,hack
玫,rose
釉,glaze
孪,twin
柱,column
辣,hot
帐,account
贞,Chastity
险,risk
猩,ape
拥,Own
伺,wait
腊,wax
况,condition
级,class
锈,rust
丝,Silk
牛,Cattle
亿,100 million
凑,make up
鳞,scale
玷,blemish
内,Inside
窑,kiln
趾,toe
筹,raise
睇,watch
通,Pass
重,Heavy
苏,Sue
译,translate
圈,lock up
萤,firefly
甥,nephew
酥,Crisp
撅,stick up
冠,crown
坝,dam
攘,throw into confusion
它,it
锅,pot
侈,extravagant
蛹,pupa
忠,loyal
佗,Tuo
蕉,banana
泅,submerge
蒸,Steam
辗,rolling
伸,stretch
弑,kill
遮,cover
寂,lonely
明,Bright
墨,ink
碟,dish
缘,edge
绑,tie
晕,gosh
士,scholar
遥,remote
著,write
减,reduce
区,Area
谬,absurd
掀,lift
队,team
砂,sand
疵,defect
视,See
长,long
绯,Crimson
橇,skid
铆,riveting
卑,humble
鼬,Ferret
婴,infant
抽,smoke
扯,pull
绰,Chuo
帘,curtain
膜,membrane
贵,expensive
篱,fence
批,batch
帖,post
黏,sticky
铝,aluminum
沟,ditch
嗑,Nibbling
倒,fall
盼,look forward to
肛,anus
房,house
娄,Lou
膳,meal
唯,only
考,Test
室,room
糟,bad
几,Several
状,shape
啪,Snapped
鱼,fish
皂,soap
逝,passed away
祖,ancestor
罚,fine
喇,La
肽,peptide
观,view
扼,hold back
孔,hole
毋,not
耍,to play
虎,Tiger
倦,tired
雾,fog
已,already
根,root
塞,stuffed
惹,provoke
骗,cheat
哉,Zai
卧,lie down
辱,disgrace
作,do
阶,order
树,Tree
捂,cover up
膨,swell
息,interest
闻,smell
醇,alcohol
墙,wall
糸,Shito
茄,eggplant
捣,pound
采,Pick
浑,muddy
酬,remuneration
告,tell
侯,Hou
呼,call
炸,fry
扔,Throw
降,drop
窍,orifice
妥,proper
埸,field
弓,bow
闪,flash
娇,Jiao
壕,trench
腌,pickled
查,check
鳖,turtle
食,Food
依,according to
托,support
右,right
璧,Bi
教,teach
掌,palm
洁,clean
艺,art
剥,peel
呵,Ah
琳,Lin
且,and
津,Tianjin
屉,drawer
蹭,rub
需,need
隽,Jun
警,police
鹅,Goose
先,First
咦,what
推,push
盈,surplus
梁,beam
合,combine
超,overtake
膊,shoulder
符,symbol
品,Taste
芭,Baba
叁,three
恍,indistinct
里,inside
舔,lick
虚,imaginary
沁,Qin
巷,lane
块,piece
痘,smallpox
铺,shop
呷,sip
挪,move
祇,Only
靡,extravagant
便,will
谐,harmony
癖,addiction
蟠,coil
稠,thick
距,distance
杰,Jay
结,Knot
炕,kang
洗,wash
个,individual
乐,happy
姐,sister
试,try
做,Do
厉,severe
嗝,belch
尔,you
哥,elder brother
峭,steep
奶,Milk
稣,Jesus
壶,pot
琉,Ryu
襄,Xiang
歉,apologize
际,occasional
入,enter
耨,hoe
御,royal
若,like
活,live
除,remove
酱,Sauce
项,item
顾,Gu
赚,earn
贝,cowry
钙,calcium
铐,handcuffs
祸,disaster
锦,brocade
访,visit
诞,birth
霄,the sky
甘,sweet
底,end
篓,basket
莱,lai
侍,serve
噎,choke
赏,reward
赊,buy on credit
枝,branch
浣,raccoon
饕,gluttonous
亩,mu
旭,Asahi
变,Change
堵,Blocking
宿,place to stay
喻,Metaphor
迎,welcome
宝,precious
陶,pottery
娥,Chang'e
特,special
枚,pieces
科,division
难,Disaster
决,decision
扳,pull
仰,look up
谜,puzzle
旧,old
撂,put down
掴,slap
笛,flute
疱,blister
暗,dark
普,general
抢,grab
碑,monument
漾,Ripple
与,and
须,Mustache
华,magnificent
嗅,sniff
骏,Jun
庭,court
臀,hip
舰,ship
孕,pregnant
州,State
飞,fly
责,responsibility
瞄,aim
命,Life
念,read
迅,fast
棘,spine
宣,declared
亡,Death
障,barrier
翰,John
殿,temple
犹,still
民,civil
挽,pull
婉,Wan
雷,thunder
铜,copper
颗,grain
波,Wave
巅,peak
何,what
川,Sichuan
退,retreat
炎,inflammation
嘣,bang
正,just
矢,arrow
络,network
趣,interest
伴,with
缉,arrest
寐,sleep soundly
排,Row
薰,Kaoru
因,because
昌,Chang
黑,black
治,rule
撸,masturbate
柔,soft
绩,achievements
仅,only
颜,color
亨,Heng
但,but
响,ring
妲,Da
眯,squint
嗜,addiction
侄,nephew
校,school
侦,detect
顷,are
蛤,Clam
狄,Di
蹙,frown
掣,switch
疼,pain
液,liquid
位,bit
称,say
蹲,squat
艇,boat
玲,Ling
动,verb: move
婚,marriage
慢,slow
辖,Jurisdiction
郊,outskirts
驭,control
誓,oath
廖,liao
犬,dog
所,Place
刃,blade
聋,deaf
陡,steep
捅,poke
母,mother
众,public
菊,chrysanthemum
拐,abduct
翘,Alice
越,cross
臼,mortar
宇,Yu
胞,cell
法,Law
兔,rabbit
愤,anger
瘟,plague
五,five
钥,key
漂,drift
慕,Mu
杨,Young
吏,officials
野,wild
酒,liquor
壤,the soil
锡,tin
小,Small
公,male
足,foot
癫,Epilepsy
售,sell
狼,Wolf
鲭,mackerel
攒,save
出,out
火,fire
藏,Tibetan
氟,fluorine
腋,Armpit
富,rich
属,belongs to
辆,vehicle
卤,halogen
朔,Shuo
登,board
仿,to imitate
羊,sheep
压,to press
揣,surmise
椅,chair
钱,money
侵,invade
档,files
玄,mysterious
巾,towel
扫,sweep
爹,father
挞,the tart
谩,谢
宴,feast
蚕,silkworm
塔,tower
症,disease
搬,move
刨,plane
伐,cutting
惊,shock
衡,balance
摆,put
盏,cup
坠,fall
借,borrow
琛,Chen
更,Even
骚,Sao
硬,hard
农,farming
美,nice
救,save
栖,perch
薪,salary
孟,Meng
龟,turtle
磁,magnetic
职,position
倚,lean on
酸,acid
竟,actually
帮,help
敛,hold back
枉,in vain
掟,throw
麻,numb
丛,clump
恼,angry
话,talk
纪,discipline
擦,wipe
愣,stupefied
附,attached
航,sail
构,structure
虽,although
悠,leisurely
尴,embarrassed
我,I
支,branch
中,middle
巡,patrol
葛,Ge
咕,Goo
袅,delicate
挤,squeeze
柠,lemon
油,Oil
两,two
改,change
人,people
嗤,laugh
军,military
钧,Jun
各,each
名,name
茂,Mao
门,Door
按,according to
夏,summer
苯,benzene
郭,Guo
叩,knock
滥,indiscriminate
抹,wipe
畸,abnormal
泥,mud
兰,orchid
持,hold
计,count
郡,county
散,scattered
艮,Gen
皇,Emperor
坟,grave
阻,block
阑,roundabout
喝,drink
辅,auxiliary
嫁,marry
斥,reprimand
掘,dig
叽,grumble
虞,Yu
噫,Alas
诽,slander
诸,various
狙,spy
杂,miscellaneous
基,base
堪,worthy
敞,open
寓,apartment
览,Browse
叱,scold
帝,emperor
廿,Twenty
翻,turn
用,use
储,reserve
苇,reed
嚄,嚄
设,Assume
紫,purple
膝,knee
喜,happiness
歌,Song
嗯,Um
报,report
棒,Great
舱,cabin
舌,tongue
蜜,honey
蜀,Shu
谎,lie
盐,Salt
询,inquire
垂,hang down
杀,kill
寞,lonely
碌,busy
吻,kiss
疯,Crazy
升,Lift
庸,Yong
沪,Shanghai
滞,stagnant
铢,baht
横,horizontal
泓,Hong
体,body
幅,piece
纸,Paper
伞,umbrella
镀,plating
挺,quite
闯,break into
届,session
匠,Carpenter
禹,Yu
套,set
湿,wet
数,number
怖,terror
傲,proud
藉,borrow
锁,Lock
亏,deficit
赴,go
醋,vinegar
贤,Xian
许,May
竹,bamboo
冒,risk
袍,robe
碰,bump
奥,Oh
帆,sail
莺,warbler
丈,Husband
往,Past
友,friend
冶,smelting
噢,Oh
裤,pants
増,increase
了,up
箱,box
泣,weep
厌,hate
诓,deceive
铛,clang
尘,dust
孽,evil
嬴,win
祺,Qi
姝,Shu
辍,cease
替,for
煨,simmer
哄,coax
坊,Square
丫,Ya
月,moon
港,port
路,road
宾,guest
飘,With the wind
眨,blink
瞅,look
歇,rest
得,have to
耳,Ear
跛,lame
印,print
刚,Just
渝,Chongqing
牧,animal husbandry
跃,jump
喋,chatter
慷,generous
授,grant
诫,commandment
鼻,nose
复,complex
洽,contact
奴,slave
戸,household
焗,Baked
耗,consumption
熟,cooked
团,group
居,live in
陀,Tuo
惩,punish
然,However
泄,vent
衔,title
而,and
康,Kang
佰,Bai
伍,Wu
吭,throat
庆,celebrating
鹳,stork
谍,spy
趟,trip
沢,Sawa
蕊,pistil
冗,redundant
鬼,ghost
旅,trip
敦,dun
适,suitable
郑,Zheng
躯,torso
奎,Kui
轰,boom
韵,rhyme
纲,outlining
辈,generation
危,dangerous
己,already
噪,noise
猛,fierce
淳,Chun
蚂,ant
少,few
刁,carry
艘,ship
贯,run through
逗,tease
涅,nirvana
好,good
唇,lip
番,fan
买,purchase
返,return
为,for
唐,Tang
腾,Teng
募,raise
阅,read
器,device
抱,hug
毁,destroy
向,Towards
兄,brother
凌,Ling
绷,stretch
嘤,hum
羽,feather
意,meaning
抄,copy
榜,list
某,certain
袭,attack
哇,Wow
祭,sacrifice
笙,Sheng
造,make
拣,pick
善,good
棋,chess
遇,encounter
阮,Nguyen
撮,pinch
服,Clothes
沙,sand
蓟,thistle
肌,muscle
帧,frame
蚤,flea
很,very
凤,phoenix
购,purchase
嘿,Hey
文,arts
址,site
萝,radish
桌,table
格,grid
遣,send
宏,macro
厥,Jue
兵,soldiers
帅,handsome
辩,debate
桶,bucket
颚,jaw
演,play
厘,centimeters
嚎,howl
读,read
落,fall
茗,tea
性,sex
静,quiet
画,painting
吋,Inches
坎,Hom
痣,mole
禽,birds
耿,Geng
狱,prison
宽,width
闰,leap
瓜,melon
茅,Mao
吾,I
芜,Wu
摩,Mount
睡,sleep
申,state
锑,antimony
叼,Diao
头,head
眶,Orbital
霜,Frost
疏,sparse
撑,support
住,live
忾,anger
蜘,spider
隅,corner
客,guest
晌,noon
奖,prize
囡,nan
聪,Satoshi
疤,scar
茵,Yin
立,stand
版,Version
梦,Dream
渔,fish
徐,Xu
范,fan
魔,magic
嘴,mouth
份,share
揉,rub
阳,Positive
遏,stop
映,reflect
污,Sewage
兜,pocket
斐,Fiji
骤,step
英,Britain
摒,abandon
轴,axis
诗,poetry
研,research
手,hand
盹,nap
藻,algae
挣,earn
锂,lithium
脉,pulse
荧,fluorescent
泱,great
獭,otter
赛,game
皋,Gao
汰,Eliminate
昏,faint
阁,Court
溅,splash
儿,Son
刘,liu
涵,culvert
二,two
堕,fall
遗,leave
彤,Tong
魅,charm
茱,Zhu
惑,confused
第,No.
消,remove
凯,Kay
综,Comprehensive
芹,Celery
受,by
夕,Xi
携,carry
培,train
贺,congratulations
薇,Wei
桃,Peach
迁,move
北,north
纵,vertical
魄,soul
寒,cold
端,end
丁,Ding
滑,slip
舅,uncle
胃,Stomach
蔬,vegetable
嗔,angry
虫,insect
朕,I
鄙,rustic
胰,pancreatic
伪,fake
马,horse
喀,click
瞻,Looking forward
沃,fertile
臭,Smelly
雀,bird
咱,we
瓷,porcelain
钾,Potassium
泌,secrete
炊,Cooking
鲲,kun
谁,Who
课,class
擅,good at
麦,wheat
瑞,Rui
谀,flatter
脯,breast
牡,male
焕,Huan
佯,pretend
残,Disabled
泡,Bubble
歧,Disagreement
皓,Hao
浅,shallow
耕,plow
盅,cup
槽,groove
豁,exempt
目,head
步,step
澎,Peng
诵,recite
溢,overflow
仆,servant
浸,dip
菸,cigarette
笼,cage
荟,Hui
喵,Meow
老,old
恰,just
犀,Rhinoceros
捕,catch
饺,dumpling
植,plant
术,surgery
蜂,bee
敷,apply
馍,steamed bun
驻,in
绅,gentry
坯,billet
膘,fat
政,politics
忌,avoid
燻,smoke
久,Long
晾,air
贼,thief
卢,Lu
漫,diffuse
经,through
测,Measurement
祗,only
速,speed
灿,brilliant
捷,fast
桑,mulberry
驮,pack
踱,pace
羯,Capricornus
悍,fierce
寝,sleep
脏,dirty
窃,steal
泠,cold
孝,filial piety
钵,bowl
旷,Kuang
俺,I
篇,articles
碾,grind
碍,hinder
胥,Xu
瞎,blind
馅,filling
例,example
斜,incline
甜,sweet
逊,Xun
迷,fan
辫,braid
匀,uniform
任,appoint
咻,call out
锄,hoe
问,ask
鸿,Hung
韩,Korea
汝,Ru
鞠,Ju
哈,what
靶,target
滚,roll
元,Yuan
夭,tender
资,capital
伯,Uncle
乞,begging
宫,palace
捧,holding
掐,pinch
嘻,laugh
诈,fraudulent
债,debt
选,select
盂,bowl
偌,Ruo
别,do not
娣,di
吮,suck
锯,saw
奉,Bless
图,picture
肖,resemble
呱,croak
幻,magical
尿,Urine
铿,clang
吼,Roar
助,help
悲,sad
埠,port
楠,Nan
恨,hatred
聚,get together
堆,heap
师,division
遵,obey
壬,Ren
盟,Alliance
广,wide
塑,plastic
般,so-so
菜,vegetable
讼,Litigation
窿,hole
晓,dawn
鸭,duck
圭,Kyu
祢,You
埔,Po
隆,Long
趴,lie
赃,booty
饰,decorated
岑,Cen
煤,coal
胖,fat
瞥,glance
样,Sample
拓,expand
搞,engage in
点,point
孛,Bo
城,city
尽,as much as possible
呈,presented
闵,min
拂,brush
实,Reality
俏,pretty
切,cut
解,untie
患,suffer from
曰,say
廊,gallery
吨,Ton
理,reason
芮,Rui
折,fold
鹤,crane
肥,Fat
畏,fear
差,Difference
咋,what
要,want
凹,concave
财,fiscal
喳,twitter
养,keep
呆,stay
砖,brick
柒,seven
朗,Long
驱,drive
百,Hundred
井,well
檀,sandalwood
颈,neck
苟,Gou
淤,silt
珉,Min
冈,Oka
码,code
座,seat
缸,cylinder
条,strip
抑,suppress
匡,Kuang
浆,pulp
拦,bar
看,Look
绪,thread
倭,Japanese
瓣,valve
尖,tip
菱,water chestnut
袜,socks
扁,flat
介,between
吉,lucky
桀,Jie
让,Let
槃,the nirvana
茜,Akane
钒,vanadium
子,son
稽,censor
胶,glue
诚,sincerity
派,group
球,ball
供,for
伙,Partner
甸,Dian
崎,rugged
煽,fan
忧,worry
充,Charge
崖,cliff
攻,attack
沦,perish
雅,elegant
使,Make
饲,feed
溯,trace back
暑,heat
奏,play
俑,figurines
核,nuclear
遂,then
葡,Portugal
碱,alkali
哺,feed
随,with
守,Shou
瓦,watt
珍,Jane
前,forward
邀,invite
可,Can
捶,hammer
矬,dwarfish
怎,How
水,water
添,add
唧,chirp
昂,hold head high
鸢,kite
着,write
币,currency
荣,Rong
傅,fu
宗,Zong
粟,millet
俩,both
屎,shit
挚,sincere
曾,Once
遛,stroll
花,flower
烟,cigarette
租,rent
奔,run
炭,carbon
僻,secluded
唔,Well
啰,hello
粤,Guangdong
砰,boom
锌,zinc
氪,krypton
镁,magnesium
哒,clatter
屌,dick
仨,three
泵,Pump
茬,stubble
氢,hydrogen
噻,thiophene
钚,plutonium
氨,ammonia
氮,nitrogen
硅,silicon
摞,pile
嚯,Whoo
镍,nickel
铬,chromium
酯,ester
唛,mark
斋,fast
铀,uranium
颞,temporal
噙,hold in mouth
羟,hydroxyl
晙,as soon as possible
铉,Hyun
飨,feast
肏,fucking
蔫,listless
屄,pussy
镭,radium
吡,Pyril
吔,huh
尻,butt
钴,cobalt
挎,shoulder
嘁,whispering sound
犟,stubborn
咲,Misaki
呔,Tweet
呒,mum
鄂,Hubei
砣,mound
楸,catalpa
啫,jelly
揾,find
镐,pick
蚝,oyster
咣,bang
卅,thirty
尕,Ga
昼,day
锶,strontium
呲,bark
嘚,bang
捋,stroke
啐,spit
哐,bang bang
噌,bass
铪,hafnium
冧,冧
唰,swish
硒,selenium
萘,naphthalene
氽,for a while
镉,cadmium
嘬,suck
钯,palladium
鳃,gill
氹,Taipa
硌,sting
氚,tritium
桖,kip
噔,thump
榎,Enoki
桁,stringer
堑,moat
沭,shu
锰,manganese
鸫,thrush
冚,冚
铥,thulium
爰,Yuan
浏,browse
吽,Hum
瓤,flesh
熵,entropy
嗌,snort
铱,iridium
锗,germanium
栎,oak
朲,people
蝻,beetle
锕,Actinium
囗,mouth
腚,buttocks
唻,唻
蚶,clam
裇,to wear
嗟,sigh
钕,neodymium
呡,huh
炆,stew
鹾,salt
橹,scull
坳,depression
唵,Om
呶,bawl
糍,Ci
涝,waterlogging
牺,sacrifice
抺,抺
铯,cesium
淖,mud
镚,镚
桉,Eucalyptus
潞,Lu Lu
砹,Astatine
煅,calcined
萁,Osmanthus
彽,彽
掾,auxiliary
椁,outer coffin
骝,monkey
嗐,sneeze
诃,blame
佷,彷
秸,straw
哬,哬
钌,ruthenium
薮,serval
廾,绾
糁,mix
